[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] Missing argument 1 for Dir::__construct(), called in E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php on line 43 and defined Dir.class.php 第 37 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined variable: path Dir.class.php 第 39 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined variable: path Dir.class.php 第 39 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: data IndexAction.class.php 第 51 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `public` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:244，运行时间:0.0007s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `public` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:244，运行时间:0.0007s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `node` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:244，运行时间:0.0034s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `node` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:244，运行时间:0.0034s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory common.php 第 495 行.
